,train,train_std,LOO,LOO_std
2,26294.387237251292,72.691574064499193,26076.288901970689,1115.9055300627076
3,28652.498874865101,79.68120460916883,27793.64190620475,1127.891805197082
4,30621.891498821824,82.230545891043974,30147.507808546688,1216.1049389297871
5,31763.377113760496,82.417302702751613,30979.975583157549,1186.3359992455971
6,32617.699629876628,100.13911790355218,31614.530915591728,1331.9090376789557
7,33401.825754462145,93.458405334140892,32334.653209192831,1347.8366657670715
8,34067.317860928873,102.30230183398884,33125.622842925841,1464.3036191613191
9,34640.304917717585,95.916427765708661,33651.929696307954,1412.8601457551217
10,35079.996766442113,97.281863110174129,33873.661933450843,1457.5705420189747
11,35472.944106354225,101.14651011261786,34240.507860179874,1517.6213899695349
12,35830.83135542259,114.31967528751915,34639.431173318022,1621.3038790177725
13,36158.676555608465,117.74041133818385,34824.973337664349,1722.8857904284491
14,36453.292389005917,123.79104710138712,35140.780812582343,1715.325361475718
15,36699.404983422806,129.12539878743715,35190.301014435063,1706.6314664609827
16,36929.361899041352,126.29161083611652,35281.862213936387,1730.0598791616992
17,37158.637394069025,113.82437828882519,35311.016312762833,1845.3516022413407
18,37370.845676418743,119.38494161359209,35594.93900862358,1849.1440200340091
19,37569.131818726375,122.03138011219752,35659.511323086088,1861.9341377436144
20,37755.532537022009,121.85538033267737,35760.979422578588,1861.8576697732906
21,37941.125855475824,124.52055869973631,35938.627337505524,1909.1267575632796
22,38109.275259924325,126.61882152568754,36101.742976185546,1967.7115050752384
23,38275.040994643015,137.87037936747501,36149.926571883974,1956.6372689226207
24,38404.852633761002,135.69656913854934,36275.903186409509,1971.718355481768
25,38543.98566030027,136.89947960142288,36362.931376143337,1935.2148429041483
