,train,LOO,LOO_std,train_std
2,20868.268574210728,20452.009380830001,1282.53997823,114.715369593
3,21943.808421031412,21574.208177673085,1800.64913976,742.979194697
4,22917.950501583691,22303.222966737725,1520.91710613,735.684957245
5,24025.408094653154,23307.547233881618,1465.04478311,499.312764869
6,24539.543801485706,23843.551613552867,1283.22494696,527.052684815
7,24931.693536275463,24089.106044675238,1605.88409947,665.648465408
8,25360.476109925887,24707.904145399527,1611.80686856,437.020736239
9,25619.940535946997,24720.509349897875,1669.56570715,435.468498921
10,25968.194449740047,25177.865295647898,1688.949658,524.94387997
11,26356.919770812616,25245.678948073135,1722.13745458,473.620072174
12,26705.422165419812,25588.094177468116,1655.6232183,402.739226096
13,,,,
14,,,,
15,,,,
16,27376.976478917168,26162.198154297406,1662.3466845,260.2680254
17,27471.106390333851,26142.164190148193,1690.9499649,425.003067659
18,27686.213663685958,26299.949352378542,1818.90763405,283.484505698
19,,,,
20,,,,
21,28146.386613861472,26436.31612320571,1928.24072696,255.183517012
